id,customer_message,golden_intent,expected_response_type,should_escalate,escalation_reason
66,"I cannot make calls from my iPhone","calling_issue","troubleshooting",false,"Known calling troubleshooting exists"
67,"I cannot receive calls","calling_issue","troubleshooting",false,"Known calling troubleshooting exists"
68,"My calls keep dropping","call_dropped","troubleshooting",false,"Common network/calling troubleshooting case"
69,"My microphone is not working during calls","microphone_issue","troubleshooting",false,"Known microphone troubleshooting exists"
70,"The speaker on my iPhone is not working","speaker_issue","troubleshooting",false,"Standard audio troubleshooting exists"
71,"My AirPods will not connect","airpods_connection","troubleshooting",false,"Known Bluetooth pairing troubleshooting exists"
72,"My AirPods keep disconnecting","airpods_connection","troubleshooting",false,"Known connection troubleshooting exists"
73,"Only one AirPod is working","airpods_audio","troubleshooting",false,"Known AirPods troubleshooting exists"
74,"My AirPods are not charging","airpods_charging","troubleshooting",false,"Standard charging troubleshooting exists"
75,"My AirPods case is not charging","airpods_charging","troubleshooting",false,"Known charging troubleshooting exists"
76,"My AirPods battery drains very quickly","airpods_battery","troubleshooting",false,"Known battery troubleshooting exists"
77,"How do I pair my AirPods with my iPhone?","airpods_connection","how_to",false,"Standard pairing instructions exist"
78,"My Bluetooth is not working","bluetooth_issue","troubleshooting",false,"Known Bluetooth troubleshooting exists"
79,"My Apple Watch will not pair with my iPhone","apple_watch_pairing","troubleshooting",false,"Known pairing troubleshooting exists"
80,"My Apple Watch is not syncing","apple_watch_sync","troubleshooting",false,"Standard sync troubleshooting exists"
81,"My Apple Watch will not turn on","apple_watch_power","troubleshooting",false,"Known power troubleshooting exists"
82,"My Apple Watch battery drains too quickly","apple_watch_battery","troubleshooting",false,"Known battery troubleshooting exists"
83,"My Apple Watch is not charging","apple_watch_charging","troubleshooting",false,"Known charging troubleshooting exists"
84,"My Apple Watch screen is frozen","apple_watch_frozen","troubleshooting",false,"Standard restart troubleshooting exists"
85,"How do I reset my Apple Watch?","apple_watch_reset","how_to",false,"Standard reset process exists"
86,"My MacBook will not turn on","mac_power_issue","troubleshooting",false,"Known Mac power troubleshooting exists"
87,"My MacBook is running very slowly","mac_performance","troubleshooting",false,"Standard performance troubleshooting exists"
88,"My MacBook is overheating","mac_overheating","troubleshooting",false,"Known overheating troubleshooting exists"
89,"My MacBook battery drains quickly","mac_battery","troubleshooting",false,"Known battery troubleshooting exists"
90,"My MacBook trackpad is not working","mac_trackpad","troubleshooting",false,"Standard trackpad troubleshooting exists"
91,"My Mac keyboard is not working","mac_keyboard","troubleshooting",false,"Known keyboard troubleshooting exists"
92,"My Mac Wi-Fi is not connecting","mac_wifi","troubleshooting",false,"Known network troubleshooting exists"
93,"My Mac Bluetooth is not working","mac_bluetooth","troubleshooting",false,"Known Bluetooth troubleshooting exists"
94,"My Mac screen is black","mac_display","troubleshooting",false,"Standard display troubleshooting exists"
95,"My Mac is stuck during startup","mac_boot_issue","troubleshooting",false,"Known startup troubleshooting exists"
96,"How do I update macOS?","macos_update","how_to",false,"Standard software update instructions exist"
97,"My Mac update failed","macos_update","troubleshooting",false,"Known update troubleshooting exists"
98,"My Mac says there is not enough storage for the update","mac_storage","troubleshooting",false,"Storage management guidance exists"
99,"My Mac is showing a kernel panic","mac_system_error","troubleshooting",true,"Potential serious system failure may require diagnostics"
100,"My MacBook suddenly shut down and will not start","mac_power_issue","troubleshooting",true,"Potential hardware issue if standard troubleshooting fails"
101,"I was charged twice for the same Apple purchase","duplicate_charge","billing",true,"Financial discrepancy requires transaction verification"
102,"I do not recognize a charge from Apple","unrecognized_charge","billing",true,"Potential unauthorized transaction"
103,"There is an unauthorized purchase on my account","unauthorized_purchase","billing",true,"Possible fraud requires investigation"
104,"I want a refund for an app","refund_request","billing",false,"Standard refund process exists"
105,"How do I request a refund from Apple?","refund_request","how_to",false,"Known refund process exists"
106,"My refund has not arrived","refund_pending","billing",true,"Transaction status may require account verification"
107,"I was charged for an app I deleted","unexpected_charge","billing",true,"Purchase history should be verified"
108,"Why was I charged for this subscription?","subscription_charge","billing",false,"Subscription billing explanation can be provided"
109,"I forgot to cancel my subscription","subscription_cancellation","how_to",false,"Cancellation guidance exists"
110,"How do I cancel an Apple subscription?","subscription_cancellation","how_to",false,"Standard cancellation process exists"
111,"My subscription was renewed automatically","subscription_renewal","billing",false,"Subscription renewal explanation can be provided"
112,"I cannot cancel my subscription","subscription_cancellation","troubleshooting",false,"Known cancellation troubleshooting exists"
113,"My Apple Music subscription is not working","apple_music_subscription","troubleshooting",false,"Known subscription troubleshooting exists"
114,"I cannot download songs from Apple Music","apple_music_download","troubleshooting",false,"Known service troubleshooting exists"
115,"Apple Music keeps stopping","apple_music_playback","troubleshooting",false,"Common playback troubleshooting case"
116,"My Apple Music library disappeared","apple_music_library","troubleshooting",false,"Known sync/library troubleshooting exists"
117,"I cannot sign into Apple Music","apple_music_login","troubleshooting",false,"Standard login troubleshooting exists"
118,"My App Store is not downloading apps","app_store_download","troubleshooting",false,"Known App Store troubleshooting exists"
119,"Apps are stuck waiting to download","app_store_download","troubleshooting",false,"Common download troubleshooting case"
120,"I cannot update my apps","app_update_issue","troubleshooting",false,"Known App Store troubleshooting exists"
121,"The App Store is not opening","app_store_issue","troubleshooting",false,"Known application troubleshooting exists"
122,"I cannot make an in-app purchase","in_app_purchase","troubleshooting",false,"Known purchase troubleshooting exists"
123,"My app purchase failed","purchase_failed","troubleshooting",false,"Standard payment troubleshooting exists"
124,"I was charged but did not receive the item","purchase_not_received","billing",true,"Transaction and fulfillment need verification"
125,"I cannot redeem my Apple gift card","gift_card_issue","troubleshooting",false,"Known redemption troubleshooting exists"
126,"My Apple gift card code is not working","gift_card_issue","troubleshooting",false,"Known redemption troubleshooting exists"
127,"My Apple gift card was already redeemed","gift_card_issue","billing",true,"Gift card transaction needs verification"
128,"I cannot add my card to Apple Pay","apple_pay_setup","troubleshooting",false,"Known Apple Pay setup troubleshooting exists"
129,"Apple Pay is not working","apple_pay_issue","troubleshooting",false,"Standard Apple Pay troubleshooting exists"
130,"My Apple Pay payment was declined","apple_pay_payment","troubleshooting",false,"Known payment troubleshooting exists"
131,"I do not recognize an Apple Pay transaction","apple_pay_security","security",true,"Potential unauthorized payment requires investigation"
132,"How do I set up Apple Pay?","apple_pay_setup","how_to",false,"Standard setup guidance exists"
133,"My Wallet app is not working","wallet_issue","troubleshooting",false,"Known Wallet troubleshooting exists"
134,"My messages are not sending","imessage_issue","troubleshooting",false,"Known messaging troubleshooting exists"
135,"iMessage is not activating","imessage_activation","troubleshooting",false,"Known activation troubleshooting exists"
136,"My messages are sending as green bubbles","imessage_issue","troubleshooting",false,"Known iMessage troubleshooting exists"
137,"I cannot receive iMessages","imessage_issue","troubleshooting",false,"Standard messaging troubleshooting exists"
138,"FaceTime is not working","facetime_issue","troubleshooting",false,"Known FaceTime troubleshooting exists"
139,"I cannot make a FaceTime call","facetime_issue","troubleshooting",false,"Standard FaceTime troubleshooting exists"
140,"FaceTime keeps disconnecting","facetime_connection","troubleshooting",false,"Known connection troubleshooting exists"
141,"My notifications are not appearing","notification_issue","troubleshooting",false,"Known notification troubleshooting exists"
142,"I am not receiving email notifications","notification_issue","troubleshooting",false,"Known notification troubleshooting exists"
143,"My Mail app is not receiving emails","mail_issue","troubleshooting",false,"Known Mail troubleshooting exists"
144,"I cannot send emails from my iPhone","mail_issue","troubleshooting",false,"Standard Mail troubleshooting exists"
145,"My Safari browser is not working","safari_issue","troubleshooting",false,"Known browser troubleshooting exists"
146,"Safari keeps crashing","safari_issue","troubleshooting",false,"Known browser troubleshooting exists"
147,"Safari is extremely slow","safari_performance","troubleshooting",false,"Standard browser troubleshooting exists"
148,"My iPhone software update failed","ios_update","troubleshooting",false,"Known update troubleshooting exists"
149,"How do I update my iPhone?","ios_update","how_to",false,"Standard software update instructions exist"
150,"My iPhone is stuck while updating","ios_update","troubleshooting",true,"Failed update may require recovery steps or human support"
151,"My iPhone was stolen","device_stolen","security",true,"Stolen device requires immediate security action"
152,"I lost my iPhone","device_lost","security",true,"Lost device requires account/device security action"
153,"I found an iPhone and want to return it","lost_device_found","general_support",true,"Device ownership cannot be verified automatically"
154,"Someone stole my AirPods","device_stolen","security",true,"Stolen device requires security guidance"
155,"I lost my Apple Watch","device_lost","security",true,"Lost device requires security guidance"
156,"How do I use Find My iPhone?","find_my_device","how_to",false,"Standard Find My instructions exist"
157,"Find My is not showing my iPhone","find_my_device","troubleshooting",false,"Known Find My troubleshooting exists"
158,"I cannot remove my old iPhone from Find My","find_my_device","account_or_security",true,"Device ownership/security verification may be required"
159,"How do I erase my iPhone remotely?","remote_erase","how_to",false,"Standard security procedure exists"
160,"My iPhone was erased remotely and I need help","remote_erase","account_or_security",true,"Account/device state requires verification"
161,"I cannot activate my iPhone","activation_issue","troubleshooting",false,"Known activation troubleshooting exists"
162,"My iPhone says activation failed","activation_issue","troubleshooting",false,"Standard activation troubleshooting exists"
163,"I am stuck on the activation lock screen","activation_lock","account_or_security",true,"Activation Lock requires ownership verification"
164,"I bought a used iPhone and it has activation lock","activation_lock","account_or_security",true,"Ownership cannot be established automatically"
165,"How do I transfer data to my new iPhone?","data_transfer","how_to",false,"Standard migration guidance exists"
166,"My data transfer to the new iPhone failed","data_transfer","troubleshooting",false,"Known migration troubleshooting exists"
167,"Quick Start is not working","quick_start","troubleshooting",false,"Known setup troubleshooting exists"
168,"My new iPhone cannot restore my data","restore_issue","troubleshooting",false,"Known restore troubleshooting exists"
169,"How do I factory reset my iPhone?","factory_reset","how_to",false,"Standard reset instructions exist"
170,"I accidentally erased my iPhone","factory_reset","account_or_security",true,"Data recovery and account state may require human review"
171,"My iPhone is disabled","device_disabled","account_or_security",true,"Security-related device state requires verification"
172,"I need help recovering deleted photos","deleted_photos","troubleshooting",false,"Recently deleted and backup options can be explained"
173,"I accidentally deleted important photos","deleted_photos","troubleshooting",false,"Recovery options may be available"
174,"My photos are missing from my iPhone","photos_missing","troubleshooting",false,"Known photo troubleshooting exists"
175,"My photos are not syncing between devices","photos_sync","troubleshooting",false,"Known sync troubleshooting exists"
176,"How do I share photos from my iPhone?","photo_sharing","how_to",false,"Standard sharing instructions exist"
177,"My AirDrop is not working","airdrop_issue","troubleshooting",false,"Known AirDrop troubleshooting exists"
178,"I cannot send files using AirDrop","airdrop_issue","troubleshooting",false,"Standard AirDrop troubleshooting exists"
179,"My iPhone cannot connect to my Mac using AirDrop","airdrop_issue","troubleshooting",false,"Known compatibility and connection troubleshooting exists"
180,"How do I use AirDrop?","airdrop_issue","how_to",false,"Standard AirDrop instructions exist"
181,"My iPhone is connected to Wi-Fi but apps say no internet","network_issue","troubleshooting",false,"Known network troubleshooting exists"
182,"My phone says No Service","cellular_signal_issue","troubleshooting",false,"Standard cellular troubleshooting exists"
183,"5G is not working on my iPhone","cellular_data_issue","troubleshooting",false,"Known cellular troubleshooting exists"
184,"My iPhone cannot connect to Bluetooth headphones","bluetooth_issue","troubleshooting",false,"Known Bluetooth troubleshooting exists"
185,"My phone cannot connect to my car Bluetooth","bluetooth_issue","troubleshooting",false,"Known Bluetooth troubleshooting exists"
186,"My iPhone speaker sounds distorted","speaker_issue","troubleshooting",false,"Known audio troubleshooting exists"
187,"My microphone sounds muffled","microphone_issue","troubleshooting",false,"Known microphone troubleshooting exists"
188,"My iPhone volume buttons are not working","hardware_button_issue","troubleshooting",false,"Known hardware troubleshooting exists"
189,"My power button is not working","hardware_button_issue","troubleshooting",true,"Possible hardware failure may require service"
190,"My iPhone has physical damage and is not working","physical_damage","support_required",true,"Physical damage requires inspection"
191,"My iPhone screen is cracked","physical_damage","support_required",true,"Physical damage requires service assessment"
192,"My iPhone was dropped in water and stopped working","water_damage","support_required",true,"Potential hardware/liquid damage requires inspection"
193,"My iPhone has liquid damage","water_damage","support_required",true,"Hardware damage requires service assessment"
194,"I need to know if my iPhone is still under warranty","warranty_status","account_or_service",false,"Warranty information can be explained"
195,"How can I check my Apple warranty?","warranty_status","how_to",false,"Standard warranty lookup process exists"
196,"I need to repair my iPhone","repair_request","support_required",true,"Repair eligibility and device condition may require verification"
197,"How do I book an Apple repair?","repair_request","how_to",false,"Repair booking process can be explained"
198,"I need a replacement for my damaged iPhone","replacement_request","support_required",true,"Replacement eligibility requires case-specific review"
199,"I have tried everything and nothing works","unresolved_issue","support_required",true,"Previous troubleshooting failed and human support is appropriate"
200,"None of the troubleshooting steps fixed my problem","unresolved_issue","support_required",true,"Issue remains unresolved after troubleshooting"
